city,latitude,longitude,average_temp,lat,lon
Luanda,8.84S,"13.78E",22.033,-8.84,13.78
Luanda,8.84S,"13.78E",24.162,-8.84,13.78
Luanda,8.84S,"13.78E",24.994,-8.84,13.78
Luanda,8.84S,"13.78E",25.681,-8.84,13.78
Luanda,8.84S,"13.78E",24.65,-8.84,13.78
Luanda,8.84S,"13.78E",25.512,-8.84,13.78
Luanda,8.84S,"13.78E",25.517,-8.84,13.78
Luanda,8.84S,"13.78E",24.827,-8.84,13.78
Luanda,8.84S,"13.78E",23.12,-8.84,13.78
Luanda,8.84S,"13.78E",20.568,-8.84,13.78
Luanda,8.84S,"13.78E",19.67,-8.84,13.78
Luanda,8.84S,"13.78E",20.143,-8.84,13.78
Luanda,8.84S,"13.78E",21.505,-8.84,13.78
Luanda,8.84S,"13.78E",23.511,-8.84,13.78
Luanda,8.84S,"13.78E",24.402,-8.84,13.78
Luanda,8.84S,"13.78E",25.207,-8.84,13.78
Luanda,8.84S,"13.78E",25.734,-8.84,13.78
Luanda,8.84S,"13.78E",26.356,-8.84,13.78
Luanda,8.84S,"13.78E",26.727,-8.84,13.78
Luanda,8.84S,"13.78E",26.215,-8.84,13.78
Luanda,8.84S,"13.78E",24.62,-8.84,13.78
Luanda,8.84S,"13.78E",21.377,-8.84,13.78
Luanda,8.84S,"13.78E",19.949,-8.84,13.78
Luanda,8.84S,"13.78E",20.035,-8.84,13.78
Luanda,8.84S,"13.78E",22.446,-8.84,13.78
Luanda,8.84S,"13.78E",23.777,-8.84,13.78
Luanda,8.84S,"13.78E",25.286,-8.84,13.78
Luanda,8.84S,"13.78E",24.723,-8.84,13.78
Luanda,8.84S,"13.78E",24.95,-8.84,13.78
Luanda,8.84S,"13.78E",25.711,-8.84,13.78
Luanda,8.84S,"13.78E",26.077,-8.84,13.78
Luanda,8.84S,"13.78E",25.555,-8.84,13.78
Luanda,8.84S,"13.78E",24.89,-8.84,13.78
Luanda,8.84S,"13.78E",23.569,-8.84,13.78
Luanda,8.84S,"13.78E",21.277,-8.84,13.78
Luanda,8.84S,"13.78E",21.473,-8.84,13.78
Luanda,8.84S,"13.78E",23.084,-8.84,13.78
Luanda,8.84S,"13.78E",24.063,-8.84,13.78
Luanda,8.84S,"13.78E",24.929,-8.84,13.78
Luanda,8.84S,"13.78E",25.433,-8.84,13.78
Luanda,8.84S,"13.78E",25.318,-8.84,13.78
Luanda,8.84S,"13.78E",25.757,-8.84,13.78
Luanda,8.84S,"13.78E",26.14,-8.84,13.78
Luanda,8.84S,"13.78E",25.733,-8.84,13.78
Luanda,8.84S,"13.78E",24.284,-8.84,13.78
Luanda,8.84S,"13.78E",22.305,-8.84,13.78
Luanda,8.84S,"13.78E",20.328,-8.84,13.78
Luanda,8.84S,"13.78E",20.99,-8.84,13.78
Luanda,8.84S,"13.78E",22.48,-8.84,13.78
Luanda,8.84S,"13.78E",23.612,-8.84,13.78
Luanda,8.84S,"13.78E",25.005,-8.84,13.78
Luanda,8.84S,"13.78E",25.347,-8.84,13.78
